index,cge_p1000852,cge_p1000850,cge_p1000857,cge_p1000854,cge_p524,cge_p1000866,cge_p1000840,cge_p1000860,cge_p507,cge_p1000864,cge_p1000844,cge_p1000862,cge_p1000842,cge_p1000848,cge_p504,cge_p515,cge_p509,cge_p540,cge_p510,cge_p1000859,iag_cientec
2013-01-01,21.62816666666667,21.171666666666674,19.828666666666667,21.141500000000004,-9999.0,-9999.0,21.817833333333336,22.5815,19.8205,-9999.0,19.315166666666666,21.152833333333334,20.69966666666668,21.5055,19.516666666666666,-9999.0,21.0205,-9999.0,21.94383333333333,21.772666666666666,21.5
2013-01-02,17.24883333333333,-9999.0,16.530333333333335,17.158166666666666,-9999.0,-9999.0,17.166666666666668,18.119833333333336,15.937833333333332,-9999.0,16.983500000000006,17.753833333333333,17.591333333333335,18.150166666666667,18.249166666666664,-9999.0,17.171499999999998,-9999.0,18.017666666666667,17.435166666666664,17.4
2013-01-03,17.2975,17.725333333333328,16.604499999999998,17.425,-9999.0,-9999.0,17.175,18.07466666666668,16.067000000000004,-9999.0,16.97683333333333,17.228666666666665,17.7305,18.29116666666668,17.782666666666668,-9999.0,17.3595,-9999.0,18.0845,17.332666666666665,17.6
2013-01-04,18.2895,18.6185,17.737333333333336,18.608166666666666,-9999.0,-9999.0,18.192,19.155666666666672,17.12633333333333,-9999.0,18.296166666666668,18.573333333333334,18.932166666666664,19.269666666666673,18.124833333333328,-9999.0,18.3095,-9999.0,19.033,18.494166666666672,18.7
2013-01-05,20.332333333333327,20.24,19.20416666666668,20.67333333333333,-9999.0,-9999.0,20.1325,20.80583333333333,18.826833333333337,-9999.0,18.31316666666667,19.926,20.3995,20.933166666666665,19.075,-9999.0,19.501333333333328,-9999.0,20.604166666666668,19.8925,20.4
2013-01-06,21.344333333333328,20.668000000000006,18.02083333333333,21.114666666666672,-9999.0,-9999.0,19.528666666666666,20.92483333333333,18.976,-9999.0,19.210666666666672,19.988166666666668,20.985166666666668,21.549166666666668,20.313833333333328,-9999.0,20.651333333333334,-9999.0,21.134500000000006,20.458166666666667,20.6
2013-01-07,20.428,20.184833333333334,17.539166666666667,20.056833333333334,-9999.0,-9999.0,19.854,20.864333333333327,18.17033333333333,-9999.0,17.732333333333333,19.034833333333328,19.914333333333328,20.250166666666672,18.83483333333333,-9999.0,19.29833333333333,-9999.0,20.36083333333333,20.073666666666668,19.9
2013-01-08,21.754166666666666,21.85133333333333,19.503000000000004,22.88716666666667,-9999.0,-9999.0,20.6445,21.030666666666665,20.36083333333333,-9999.0,19.469333333333328,20.931666666666665,20.923,21.48716666666667,20.770333333333333,-9999.0,21.349500000000006,-9999.0,21.455166666666667,20.684833333333334,21.6
2013-01-09,20.673,20.574,19.612000000000002,20.673166666666663,-9999.0,-9999.0,20.527166666666673,21.277333333333328,19.117166666666666,-9999.0,19.399,20.609,20.453166666666668,21.322666666666667,20.3475,-9999.0,20.265,-9999.0,20.9265,20.152833333333326,20.8
2013-01-10,17.19183333333333,17.59116666666667,15.884166666666665,17.319499999999998,-9999.0,-9999.0,17.31083333333333,17.737333333333332,15.795,-9999.0,16.589166666666667,16.965,17.195,17.912,17.34466666666667,-9999.0,16.720166666666668,-9999.0,17.62,17.274,17.2
2013-01-11,16.31866666666667,16.6815,14.947666666666667,16.223166666666668,-9999.0,-9999.0,16.327166666666667,16.97683333333333,14.568166666666668,-9999.0,16.0,16.429333333333336,16.142666666666667,16.884333333333334,16.38416666666667,-9999.0,15.857166666666664,-9999.0,16.834,16.483333333333338,16.5
2013-01-12,16.186333333333334,16.285333333333334,14.563333333333334,16.129,-9999.0,-9999.0,15.9915,16.704833333333333,14.3935,-9999.0,14.722499999999998,15.983333333333334,15.847333333333333,16.846,15.659166666666666,-9999.0,15.869000000000002,-9999.0,16.458000000000002,15.919333333333334,16.2
2013-01-13,17.339499999999994,16.887999999999995,15.719666666666667,17.520666666666667,-9999.0,-9999.0,17.294166666666666,17.739,16.379500000000004,-9999.0,16.396,17.404833333333332,16.906333333333333,17.473666666666666,17.161666666666665,-9999.0,16.699666666666666,-9999.0,17.363,17.510666666666665,17.6
2013-01-14,17.678333333333327,17.551,16.760333333333335,17.8345,-9999.0,-9999.0,17.661666666666665,17.972166666666666,16.898,-9999.0,16.741833333333332,17.18316666666667,-9999.0,18.05116666666667,17.265666666666664,-9999.0,16.987000000000002,-9999.0,17.495500000000003,17.423666666666666,17.8
2013-01-15,17.767333333333333,17.52716666666667,17.141333333333332,17.983999999999995,-9999.0,-9999.0,17.901666666666667,18.232333333333333,17.0725,-9999.0,17.4165,17.9825,17.712,18.286166666666666,17.9285,-9999.0,17.272166666666664,-9999.0,17.901833333333332,18.009333333333334,18.6
2013-01-16,18.630333333333336,18.447333333333333,16.921499999999998,18.5145,-9999.0,-9999.0,18.680333333333333,18.991166666666672,16.629499999999997,-9999.0,18.111333333333327,18.417166666666667,17.604499999999994,19.249666666666666,18.116666666666667,-9999.0,18.306333333333328,-9999.0,18.729333333333333,18.527833333333334,18.6
2013-01-17,18.804666666666666,18.792833333333334,17.784166666666668,18.84,-9999.0,-9999.0,18.509333333333327,18.979333333333333,17.705666666666673,-9999.0,16.99716666666667,17.765833333333333,18.3835,18.789666666666665,17.833,-9999.0,18.133333333333336,-9999.0,18.559833333333334,18.333,19.0
