Aiquile
3002
-18.203335
-65.178055
 2255
1943 10 - 2004  4
 18262  13570   74.3
---------------------------
Julday  Year Mo Da Param=13
2437301 1961  1  1    6.000
2437302 1961  1  2    0.000
2437303 1961  1  3    0.000
2437304 1961  1  4    8.000
2437305 1961  1  5    3.000
2437306 1961  1  6    8.000
2437307 1961  1  7    8.000
2437308 1961  1  8    3.000
2437309 1961  1  9    0.000
2437310 1961  1 10    3.000
2437311 1961  1 11    3.000
2437312 1961  1 12    0.000
2437313 1961  1 13    0.000
2437314 1961  1 14    0.000
2437315 1961  1 15    0.000
2437316 1961  1 16    0.000
2437317 1961  1 17    8.000
2437318 1961  1 18    3.000
2437319 1961  1 19    8.000
2437320 1961  1 20    3.000
2437321 1961  1 21    0.000
2437322 1961  1 22    0.000
2437323 1961  1 23    0.000
2437324 1961  1 24    3.000
2437325 1961  1 25    3.000
2437326 1961  1 26    0.000
2437327 1961  1 27    0.000
2437328 1961  1 28    0.000
2437329 1961  1 29    8.000
2437330 1961  1 30    3.000
2437331 1961  1 31    3.000
2437332 1961  2  1    0.000
2437333 1961  2  2    0.000
2437334 1961  2  3    0.000
2437335 1961  2  4    0.000
2437336 1961  2  5    0.000
2437337 1961  2  6    0.000
2437338 1961  2  7    0.000
2437339 1961  2  8    8.000
2437340 1961  2  9    3.000
2437341 1961  2 10    8.000
2437342 1961  2 11    0.000
2437343 1961  2 12    0.000
2437344 1961  2 13    0.000
2437345 1961  2 14    3.000
2437346 1961  2 15    3.000
2437347 1961  2 16    0.000
2437348 1961  2 17    3.000
2437349 1961  2 18    0.000
2437350 1961  2 19    0.000
2437351 1961  2 20    0.000
2437352 1961  2 21    0.000
2437353 1961  2 22    3.000
2437354 1961  2 23    8.000
2437355 1961  2 24    3.000
2437356 1961  2 25    0.000
2437357 1961  2 26    0.000
2437358 1961  2 27    0.000
2437359 1961  2 28    6.000
2437360 1961  3  1    0.000
2437361 1961  3  2    3.000
2437362 1961  3  3    8.000
2437363 1961  3  4    0.000
2437364 1961  3  5    0.000
2437365 1961  3  6    0.000
2437366 1961  3  7    3.000
2437367 1961  3  8    3.000
2437368 1961  3  9    6.000
2437369 1961  3 10    8.000
2437370 1961  3 11    0.000
2437371 1961  3 12    3.000
2437372 1961  3 13    3.000
2437373 1961  3 14    3.000
2437374 1961  3 15    6.000
2437375 1961  3 16    0.000
2437376 1961  3 17    0.000
2437377 1961  3 18    0.000
2437378 1961  3 19    6.000
2437379 1961  3 20    8.000
2437380 1961  3 21    6.000
2437381 1961  3 22    8.000
2437382 1961  3 23    6.000
2437383 1961  3 24    6.000
2437384 1961  3 25    3.000
2437385 1961  3 26    6.000
2437386 1961  3 27    3.000
2437387 1961  3 28    3.000
2437388 1961  3 29    0.000
2437389 1961  3 30    3.000
2437390 1961  3 31    8.000
2437391 1961  4  1    0.000
2437392 1961  4  2    8.000
2437393 1961  4  3    3.000
2437394 1961  4  4    0.000
2437395 1961  4  5    0.000
2437396 1961  4  6    8.000
2437397 1961  4  7    3.000
2437398 1961  4  8    0.000
2437399 1961  4  9    0.000
2437400 1961  4 10    8.000
2437401 1961  4 11    3.000
2437402 1961  4 12    0.000
2437403 1961  4 13    0.000
2437404 1961  4 14    0.000
2437405 1961  4 15    8.000
2437406 1961  4 16    0.000
